,Title,Artist,Weeks on chart,year,Spotify_Popularity,Artist_Popularity,track_id,track_title,track_artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature,tempo,mode,genre
21842,White Tee's,Dem Franchize Boyz,16.0,2004,42,51,7xl8xYOCSc6Ukg6YFwi2zx,White Tee,Dem Franchize Boyz,0.882,0.629,7.0,-6.132000000000001,0.10400000000000001,0.00545,0.0,0.078,0.624,278867.0,4.0,161.99,1.0,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
21847,So Cold,Breaking Benjamin,20.0,2004,57,75,3xXKwkmkrpZmGpIof83xbE,So Cold,Breaking Benjamin,0.485,0.7759999999999999,0.0,-5.472,0.0525,0.00225,0.000102,0.124,0.26,273040.0,4.0,153.055,0.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock']"
21853,Breathe,Fabolous,19.0,2004,45,75,7fuoqve1SOEBmhc2PoQTF0,Breathe,Fabolous,0.713,0.91,10.0,-5.586,0.282,0.34,0.0,0.304,0.51,268960.0,4.0,83.028,0.0,"['dance pop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'trap music', 'urban contemporary']"
21854,Nasty Girl,Nitty,19.0,2004,41,56,3SDsWD5DL2acZ1BjRJObm9,Nasty Girl - Main,Nitty,0.9440000000000001,0.982,2.0,-5.0969999999999995,0.0463,0.0638,6.709999999999999e-05,0.0257,0.8859999999999999,247040.0,4.0,122.01,1.0,"['bluegrass', 'country', 'country rock', 'cowboy western', 'folk', 'folk rock', 'mellow gold', 'nashville sound', 'outlaw country', 'southern rock', 'traditional country', 'traditional folk']"
21863,Used To Love U,John Legend,14.0,2004,52,83,051NZ3rr3HXTULCEySJRX3,Used to Love U,John Legend,0.6609999999999999,0.7959999999999999,7.0,-4.776,0.0833,0.0347,0.0,0.396,0.657,210867.0,4.0,87.982,1.0,"['neo soul', 'pop', 'r&b', 'urban contemporary']"
21868,Tempted To Touch,Rupee,2.0,2004,51,51,7khLgMuA7m4SA6aaDv1QSv,Tempted To Touch,Rupee,0.8190000000000001,0.825,2.0,-7.0120000000000005,0.0549,0.061,0.0,0.0904,0.9390000000000001,207547.0,4.0,105.988,0.0,"['chutney', 'dancehall', 'soca']"
21874,What You Waiting For?,Gwen Stefani,2.0,2004,51,76,7icROppj4Z12Nr0xGgxWFJ,What You Waiting For?,Gwen Stefani,0.675,0.951,2.0,-2.559,0.0664,0.0465,7.54e-06,0.625,0.718,221227.0,4.0,136.042,0.0,"['australian pop', 'dance pop', 'europop', 'hip pop', 'pop', 'pop rock', 'post-teen pop', 'r&b', 'urban contemporary']"
21875,Real Big,Mannie Fresh,nan,2004,44,57,47FjToieQbxqNnuiRRQtym,Real Big,Mannie Fresh,0.725,0.867,7.0,-3.543,0.0874,0.0199,0.0,0.276,0.568,228827.0,4.0,97.013,1.0,"['bounce', 'dirty south rap', 'gangster rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
21876,Westside Story,The Game Featuring 50 Cent,nan,2004,-1,-1,0lOe1dR2TNkJMCjIcRuw6T,Westside Story,The Game,0.8759999999999999,0.657,11.0,-3.9810000000000003,0.284,0.166,0.0,0.267,0.9440000000000001,223067.0,4.0,86.998,1.0,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
21880,I Don't Want To Be,Gavin DeGraw,3.0,2004,-1,69,4bgCdwNpbU3sCJ3mupBW8S,I Don't Want to Be - Stripped Version,Gavin DeGraw,0.545,0.5820000000000001,8.0,-7.377000000000001,0.0368,0.142,0.0,0.14400000000000002,0.536,244333.0,4.0,147.082,1.0,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']"
